 Model Name , Year , Engine Type , Engine Displacement , Horsepower (HP) , Torque , Transmission Type , Fuel Efficiency , Drive Type , Seating Capacity , Cargo Capacity , Safety Features , Infotainment System , Advanced Driver Assistance Systems (ADAS) , Dimensions , Suspension Type , Brake Type , Top Speed , Acceleration (0-60 mph or 0-100 km/h) , Towing Capacity , Warranty , Price , Model Name     , Model Name        , Engine Type                                                  , Transmission Type        , Model Name         , Transmission Type                
------------,------,-------------,---------------------,----------------,--------,-------------------,----------------,-----------,-----------------,----------------,----------------,---------------------,---------------------------------------,------------,----------------,-----------,----------,---------------------------------------,----------------,----------,-------,,,,,,
 Passport SPORT ,2023," 3.5-litre, 24-valve, Direct Injection, SOHC, i-VTEC® V6 ", 3471 cc , 280 @ 6000 , 262 @ 4700 , 9-speed automatic transmission with Grade Logic Control , 11.3 L/100 KM (Combined) , Intelligent Variable Torque Management (i-VTM4™) AWD system ,5, NULL ," Blind Spot Information3 (BSI) system, Rear Cross Traffic Monitor3 system ", NULL ," Adaptive Cruise Control3 (ACC) (HS*), Lane Keeping Assist System3 (LKAS) (HS*), Auto high beam ", 4821 x 1835 x 193 mm , Multi-link independent rear suspension ," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL , NULL , 1588 or available 2268 kg ," Basic: 3 years/60,000 km, Powertrain: 5 years/100,000 km, Corrosion: 5 years/Unlimited km, Roadside Assistance: 3 years/Unlimited km "," Starting at $39,990 ",,,,,,
 Passport TRAILSPORT ,2023," 3.5-litre, 24-valve, Direct Injection, SOHC, i-VTEC® V6 ", 3471 cc , 280 @ 6000 , 262 @ 4700 , 9-speed automatic transmission with Grade Logic Control , 11.3 L/100 KM (Combined) , Intelligent Variable Torque Management (i-VTM4™) AWD system ,5, NULL ," Blind Spot Information3 (BSI) system, Rear Cross Traffic Monitor3 system ", NULL ," Adaptive Cruise Control3 (ACC) (HS*), Lane Keeping Assist System3 (LKAS) (HS*), Auto high beam ", 4821 x 1835 x 193 mm , Multi-link independent rear suspension ," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL , NULL , 1588 or available 2268 kg ," Basic: 3 years/60,000 km, Powertrain: 5 years/100,000 km, Corrosion: 5 years/Unlimited km, Roadside Assistance: 3 years/Unlimited km "," Starting at $43,990 ",,,,,,
 Passport TOURING ,2023," 3.5-litre, 24-valve, Direct Injection, SOHC, i-VTEC® V6 ", 3471 cc , 280 @ 6000 , 262 @ 4700 , 9-speed automatic transmission with Grade Logic Control , 11.3 L/100 KM (Combined) , Intelligent Variable Torque Management (i-VTM4™) AWD system ,5, NULL ," Blind Spot Information3 (BSI) system, Rear Cross Traffic Monitor3 system ", NULL ," Adaptive Cruise Control3 (ACC) (HS*), Lane Keeping Assist System3 (LKAS) (HS*), Auto high beam ", 4821 x 1835 x 193 mm , Multi-link independent rear suspension ," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL , NULL , 1588 or available 2268 kg ," Basic: 3 years/60,000 km, Powertrain: 5 years/100,000 km, Corrosion: 5 years/Unlimited km, Roadside Assistance: 3 years/Unlimited km "," Starting at $45,990 ",,,,,,
,------,-------------,---------------------,----------------,--------,-------------------,----------------,------------,-----------------,----------------,----------------,---------------------,---------------------------------------,------------,----------------,-----------,-----------,------------------------------------,----------------,----------,-------,----------------,,,,,
Odyssey EX,2023, V6          ,3471,280,262, 10-speed Automatic , Regular        , FWD        ,8, 929-3984       , Standard       , 150-watt AM/FM audio system with MP3/Windows Media® Audio playback capability and 7 speakers including subwoofer , NULL                                  , 5213 x 1767 x 3000 mm ," MacPherson strut front suspension, Multi-link rear suspension with trailing arms "," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL      , NULL                                 , 1587 kg        , NULL     , NULL  , Odyssey EX     ,,,,,
Odyssey EX-L,2023, V6          ,3471,280,262, 10-speed Automatic , Regular        , FWD        ,8, 929-3984       , Standard       , 150-watt AM/FM audio system with MP3/Windows Media® Audio playback capability and 7 speakers including subwoofer , NULL                                  , 5213 x 1767 x 3000 mm ," MacPherson strut front suspension, Multi-link rear suspension with trailing arms "," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL      , NULL                                 , 1587 kg        , NULL     , NULL  , Odyssey EX-L    ,,,,,
Odyssey TOURING,2023, V6          ,3471,280,262, 10-speed Automatic , Regular        , FWD        ,8, 929-3973       , Standard       , 550-watt AM/FM audio system with MP3/Windows Media® Audio playback capability and 11 speakers including subwoofer , NULL                                  , 5213 x 1767 x 3000 mm ," MacPherson strut front suspension, Multi-link rear suspension with trailing arms "," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL      , NULL                                 , 1587 kg        , NULL     , NULL  , Odyssey TOURING ,,,,,
Odyssey BLACK EDITION,2023, V6          ,3471,280,262, 10-speed Automatic , Regular        , FWD        ,8, 929-3973       , Standard       , 550-watt AM/FM audio system with MP3/Windows Media® Audio playback capability and 11 speakers including subwoofer , NULL                                  , 5213 x 1767 x 3000 mm ," MacPherson strut front suspension, Multi-link rear suspension with trailing arms "," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL      , NULL                                 , 1587 kg        , NULL     , NULL  , Odyssey BLACK EDITION ,,,,,
------------,------,-------------,---------------------,----------------,--------,-------------------,----------------,-----------,-----------------,----------------,----------------,---------------------,---------------------------------------,------------,----------------,-----------,-----------,--------------------------------------,----------------,----------,-------,,,,,,
 Civic LX-B ,2023," 2.0-litre, 16-valve, Port Injection, DOHC, i-VTEC® 4-cylinder ", 1996 cc , 1158 @ 6500 , 1138 @ 4300 , NULL , 7.7/6.0/6.9 (City/Hwy/Combined) , NULL ,5, 419 L , NULL ," 7"" colour touchscreen, USB device connector "," Eco Assist™ system, Drive-by-Wire Throttle System™ ", 4673 x 2081 x 1415 mm , NULL , NULL , NULL , NULL , NULL , NULL , NULL ,,,,,,
 Civic LX ,2023," 1.5-litre, 16-valve, Direct Injection, DOHC, turbocharged 4-cylinder ", 1498 cc , 158 @ 6500 , 138 @ 4300 , NULL , 7.6/6.1/6.9 (City/Hwy/Combined) , NULL ,5, 419 L , NULL ," 7"" colour touchscreen, 1 USB device connector "," Eco Assist™ system, Drive-by-Wire Throttle System™ ", 4673 x 2081 x 1415 mm , NULL , NULL , NULL , NULL , NULL , NULL , NULL ,,,,,,
 Civic EX-B ,2023," 2.0-litre, 16-valve, Port Injection, DOHC, i-VTEC® 4-cylinder ", 1996 cc , 158 @ 6500 , 138 @ 4300 , NULL , 7.7/6.0/6.9 (City/Hwy/Combined) , NULL ,5, 419 L , NULL ," 7"" colour touchscreen, 3 USB device connectors "," Eco Assist™ system, Drive-by-Wire Throttle System™ ", 4673 x 2081 x 1415 mm , NULL , NULL , NULL , NULL , NULL , NULL , NULL ,,,,,,
 Civic EX ,2023," 1.5-litre, 16-valve, Direct Injection, DOHC, turbocharged 4-cylinder ", 1498 cc , 158 @ 6500 , 138 @ 4300 , NULL , 7.7/6.0/6.9 (City/Hwy/Combined) , NULL ,5, 419 L , NULL ," 7"" colour touchscreen, 3 USB device connectors "," Eco Assist™ system, Drive-by-Wire Throttle System™ ", 4673 x 2081 x 1415 mm , NULL , NULL , NULL , NULL , NULL , NULL , NULL ,,,,,,
 Civic Sport-B ,2023," 2.0-litre, 16-valve, Port Injection, DOHC, i-VTEC® 4-cylinder ", 1996 cc , 158 @ 6500 , 138 @ 4300 , NULL , 7.8/6.3/7.1 (City/Hwy/Combined) , NULL ,5, 419 L , NULL ," 7"" colour touchscreen, 3 USB device connectors "," Eco Assist™ system, Drive-by-Wire Throttle System™ ", 4673 x 2081 x 1415 mm , NULL , NULL , NULL , NULL , NULL , NULL , NULL ,,,,,,
 Civic Sport ,2023," 1.5-litre, 16-valve, Direct Injection, DOHC, turbocharged 4-cylinder ", 1498 cc , 158 @ 6500 , 138 @ 4300 , NULL , 7.8/6.3/7.1 (City/Hwy/Combined) , NULL ,5, 419 L , NULL ," 7"" colour touchscreen, 3 USB device connectors "," Eco Assist™ system, Drive-by-Wire Throttle System™ ", 4673 x 2081 x 1415 mm , NULL , NULL , NULL , NULL , NULL , NULL , NULL ,,,,,,
 Civic Touring ,2023," 1.5-litre, 16-valve, Direct Injection, DOHC, turbocharged 4-cylinder ", 1498 cc , 180 @ 6000 , 177 @ 1700-4500 , NULL , 7.6/6.1/6.9 (City/Hwy/Combined) , NULL ,5, 408 L , NULL ," 9"" colour touchscreen including Navigation, 4 USB device connectors "," Eco Assist™ system, Drive-by-Wire Throttle System™ ", 4673 x 2081 x 1415 mm , NULL , NULL , NULL , NULL , NULL , NULL , NULL ,,,,,,
,------,,---------------------,-----------------,--------,,----------------,------------,-----------------,----------------,----------------,---------------------,----------------------------------------,------------,----------------,------------,-----------,--------------------------------------,----------------,----------,-------,,-------------------,--------------------------------------------------------------,--------------------------,,
Civic Hatchback LX,2023,,1996, 115 @ 6500       , 113 @ 4200 ,, 7.2/6.2/8.0    , Front-wheel,5,693, Available      , NULL                , Available                              , 4547 x 2081 x 1415 , NULL           , NULL       , NULL      , NULL                                 , NULL           , NULL     , NULL  ,, Civic LX          ," 2.0-Litre, 16-valve, Port Injection, DOHC, I-VTEC® 4-cylinder ", Continuously variable    ,,
Civic Hatchback SPORT-B,2023,,1498, 180 @ 6000       , 177 @ 1700-4500 ,, 7.1/6.3/7.1    , Front-wheel,5,693, Available      , NULL                , Available                              , 4547 x 2081 x 1415 , NULL           , NULL       , NULL      , NULL                                 , NULL           , NULL     , NULL  ,, Civic Sport-B     ," 1.5-litre, 16-valve, Direct Injection, DOHC, VTEC® turbocharged 4-cylinder ", Continuously variable ,,
Civic Hatchback SPORT,2023,,1498, 180 @ 6000       , 177 @ 1700-4500 ,, 7.1/6.3/7.1    , Front-wheel,5,693, Available      , NULL                , Available                              , 4547 x 2081 x 1415 , NULL           , NULL       , NULL      , NULL                                 , NULL           , NULL     , NULL  ,, Civic Sport       ," 1.5-litre, 16-valve, Direct Injection, DOHC, VTEC® turbocharged 4-cylinder ", Continuously variable ,,
Civic Hatchback SPORT TOURING,2023,,1498, 180 @ 6000       , 177 @ 1700-4500 ,, 7.1/6.3/7.1    , Front-wheel,5,693, Available      , NULL                , Available                              , 4547 x 2081 x 1415 , NULL           , NULL       , NULL      , NULL                                 , NULL           , NULL     , NULL  ,, Civic Sport Touring," 1.5-litre, 16-valve, Direct Injection, DOHC, VTEC® turbocharged 4-cylinder ", Continuously variable ,,
------------,------,-------------,---------------------,----------------,--------,-------------------,----------------,------------,-----------------,----------------,----------------,---------------------,---------------------------------------,------------,----------------,-----------,----------,--------------------------------------,----------------,----------,-------,,,,,,
 Pilot Sport ,2023, V6          ,3471,285,262, 10-speed automatic , 11.0/9.3/11.2   , AWD        ,8, NULL           , ACE body structure , NULL                                , Agile Handle Assist                   , NULL       , Multi-link independent rear suspension ," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL     , NULL                                 , NULL           , NULL     , NULL  ,,,,,,
 Pilot EX-L ,2023, V6          ,3471,285,262, 10-speed automatic , 11.0/9.3/11.2   , AWD        ,8, NULL           , ACE body structure , NULL                                , Agile Handle Assist                   , NULL       , Multi-link independent rear suspension ," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL     , NULL                                 , NULL           , NULL     , NULL  ,,,,,,
 Pilot TRAILSPORT ,2023, V6      ,3471,285,262, 10-speed automatic , 11.8/10.3/13.0  , AWD        ,7, NULL           , ACE body structure , NULL                                , Agile Handle Assist                   , NULL       , 24.2 (tubular)/18 (solid)              ," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL     , NULL                                 , NULL           , NULL     , NULL  ,,,,,,
 Pilot TOURING ,2023, V6         ,3471,285,262, 10-speed automatic , 11.2/9.4/12.7   , AWD        ,8, NULL           , ACE body structure , NULL                                , Agile Handle Assist                   , NULL       , Multi-link independent rear suspension ," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL     , NULL                                 , NULL           , NULL     , NULL  ,,,,,,
 Pilot BLACK EDITION ,2023, V6  ,3471,285,262, 10-speed automatic , 11.2/9.4/12.7   , AWD        ,8, NULL           , ACE body structure , NULL                                , Agile Handle Assist                   , NULL       , Multi-link independent rear suspension ," Power-assisted, ventilated front disc/solid rear disc brakes ", NULL     , NULL                                 , NULL           , NULL     , NULL  ,,,,,,
,------,,---------------------,-----------------,--------,,----------------,------------,-----------------,----------------,----------------,---------------------,-----------------------------------------,------------,----------------,------------,-----------,------------------------------------,----------------,----------,-------,,,--------------------------------------------------------------,,--------------------,---------------------------------
Accord EX,2023,,1498,192,192,, 7.3/6.4/8.1    , NULL       ,5,473, Full           , 7-inch touchscreen   ," ECO Assist, ECO Guide, Drive-by-Wire Throttle System, Idle-stop ", NULL       , NULL           , NULL       , NULL      , NULL                               , NULL           , NULL     , NULL  ,,," 1.5-litre, 16-valve, Direct Injection, DOHC, VTEC turbocharged ",, Accord EX          , Continuously variable transmission 
Accord SPORT HYBRID,2023,,1993,146,134,, 5.3/5.7/5.0    , NULL       ,5,473, Full           , 12.3-inch touchscreen ," HondaLink Subscription Services, OTA software updates, Wi-Fi tethering ", NULL       , NULL           , NULL       , NULL      , NULL                               , NULL           , NULL     , NULL  ,,," 2.0-litre, 16-valve, Direct Injection, DOHC                    ",, Accord Sport Hybrid , Electric-Continuously Variable Transmission 
Accord TOURING HYBRID,2023,,1993,146,134,, 5.3/5.7/5.0    , NULL       ,5,473, Full           , 12.3-inch touchscreen ," HondaLink Subscription Services, OTA software updates, Wi-Fi tethering ", NULL       , NULL           , NULL       , NULL      , NULL                               , NULL           , NULL     , NULL  ,,," 2.0-litre, 16-valve, Direct Injection, DOHC                    ",, Accord Touring Hybrid , Electric-Continuously Variable Transmission 
